0.00	X
0.06	B
0.63	C
0.70	B
0.98	C
1.19	B
1.40	D
1.54	B
1.75	E
1.89	F
1.96	X
2.41	B
2.56	C
2.84	B
2.98	X
3.19	B
3.28	C
3.63	B
3.77	X
3.94	B
4.07	C
4.35	B
4.49	X
4.65	B
4.77	C
5.05	B
5.19	X
5.34	B
5.43	C
5.78	B
6.07	C
6.14	B
6.49	X
6.63	B
6.78	C
7.06	B
7.20	X
7.36	B
7.48	C
7.83	B
7.90	X
8.06	B
8.18	C
8.46	B
8.60	X
8.74	B
8.87	C
9.15	B
9.29	X
9.43	B
9.59	C
9.87	B
10.01	X
10.15	B
10.26	C
10.61	B
10.68	X
10.82	B
10.96	C
11.24	B
11.38	X
11.53	B
11.65	C
11.93	B
12.07	X
12.22	B
12.31	C
12.59	B
12.73	X
12.89	B
13.01	C
13.29	B
13.43	X
13.60	B
13.72	C
14.00	B
14.14	X
14.31	B
14.42	C
14.70	B
14.84	X
14.99	B
15.08	C
15.36	B
15.50	X
15.66	B
15.75	C
16.03	B
16.17	X
16.35	B
16.45	C
16.73	B
16.87	X
17.03	B
17.13	C
17.41	B
17.55	X
17.72	B
17.82	C
18.10	B
18.24	X
18.41	B
18.52	C
18.80	B
18.94	X
19.11	B
19.23	C
19.51	B
19.65	X
19.84	B
19.94	C
20.22	B
20.36	X
20.53	B
20.61	C
20.89	B
21.03	X
21.21	B
21.34	C
21.62	B
21.76	X
21.91	B
22.05	C
22.33	B
22.47	X
22.63	B
22.75	C
23.03	B
23.17	X
23.33	B
23.46	C
23.74	B
23.88	X
24.00	X
