0.00	X
0.04	B
0.38	C
0.45	G
0.52	E
0.66	B
0.80	C
0.94	B
1.08	C
1.29	B
1.50	D
1.71	C
1.79	X
2.17	G
2.21	E
2.39	B
2.79	E
2.99	B
3.23	G
3.30	E
3.44	B
3.68	G
3.74	E
3.94	B
4.08	G
4.15	E
4.36	B
4.61	G
4.67	E
4.87	B
5.01	G
5.08	E
5.29	B
5.55	G
5.60	E
5.72	B
5.96	G
6.02	E
6.22	B
6.54	E
6.72	B
6.96	G
7.03	E
7.24	B
7.50	G
7.54	E
7.72	B
8.01	E
8.22	B
8.49	G
8.54	E
8.72	B
9.00	E
9.18	B
9.42	G
9.48	E
9.67	B
9.81	G
9.95	E
10.09	B
10.33	G
10.40	E
10.61	B
10.78	G
10.85	E
11.05	B
11.34	E
11.50	B
11.81	E
12.02	B
12.19	G
12.25	E
12.38	B
12.64	G
12.71	E
12.84	B
13.09	G
13.16	E
13.29	B
13.53	G
13.57	E
13.82	B
14.14	G
14.19	E
14.31	B
14.56	G
14.63	E
14.83	B
15.09	G
15.14	E
15.26	B
15.52	G
15.58	E
15.77	B
16.04	G
16.09	E
16.20	B
16.46	G
16.53	E
16.67	B
16.94	G
17.00	E
17.13	B
17.37	G
17.43	E
17.55	B
17.76	X
17.88	X
