0.00	X
0.04	B
0.60	E
0.74	B
0.95	C
1.09	B
1.30	D
1.37	B
1.65	E
1.72	F
1.79	X
2.27	B
2.34	E
2.40	B
2.78	E
2.92	B
3.28	E
3.40	B
3.61	X
3.75	B
3.81	E
3.86	B
4.22	A
4.30	C
4.37	B
4.58	X
4.74	B
4.79	E
4.84	B
5.05	X
5.26	B
5.31	E
5.36	B
5.77	E
5.90	B
6.11	X
6.40	B
6.47	E
6.53	B
6.74	X
7.02	B
7.09	E
7.16	B
7.37	X
7.63	B
7.68	E
7.79	B
8.00	X
8.27	B
8.33	E
8.38	B
8.59	X
8.86	B
8.92	E
9.04	B
9.25	X
9.52	B
9.57	E
9.68	B
9.89	X
10.09	B
10.16	E
10.22	B
10.61	E
10.74	B
10.95	X
11.19	B
11.25	E
11.31	B
11.52	X
11.72	B
11.78	E
11.84	B
12.05	X
12.28	B
12.32	E
12.43	B
12.64	X
12.88	B
12.94	E
12.99	B
13.20	X
13.41	B
13.48	E
13.55	B
13.76	X
13.96	B
14.02	E
14.08	B
14.29	X
14.51	B
14.56	E
14.67	B
14.88	X
15.01	B
15.07	E
15.12	B
15.33	X
15.52	B
15.58	E
15.63	B
15.84	X
16.06	B
16.12	E
16.18	B
16.39	X
16.60	B
16.68	E
16.75	B
16.96	X
17.16	B
17.22	E
17.27	B
17.63	E
17.76	B
17.90	X
18.08	B
18.13	E
18.17	B
18.38	X
18.55	B
18.61	E
18.67	B
18.88	X
19.02	B
19.09	E
19.15	B
19.36	X
19.59	B
19.65	E
19.71	B
19.92	X
20.10	B
20.17	E
20.23	B
20.62	E
20.69	B
21.06	E
21.20	B
21.34	X
21.49	B
21.54	E
21.65	B
21.93	E
22.00	B
22.20	X
22.34	B
22.38	E
22.49	B
22.63	X
22.81	X
